23,10,57,56,42,31,55
52,46,22,4,45,11,10
11,52,4,49,3,6,35
26,39,34,53,36,32,57
14,6,18,30,10,58,47
30,7,21,14,23,19,47
23,9,33,57,20,11,38
34,43,28,7,25,21,47
21,3,5,55,1,31,42
7,46,26,32,12,54,44
56,2,49,20,5,41,34
47,6,41,31,17,5,28
55,9,42,10,23,17,1
13,34,29,54,21,25,32
8,22,13,27,42,45,3
2,26,18,24,54,53,38
14,12,43,57,56,2,13
51,21,24,19,9,53,46
18,6,14,20,58,13,45
25,35,10,38,43,31,45
46,45,6,53,49,40,8
11,17,39,35,28,58,16
34,51,20,25,24,3,26
31,51,7,35,60,33,59
45,46,19,28,18,13,34
17,39,52,24,34,41,27
15,41,47,57,28,18,45
8,44,25,35,34,55,21
55,41,37,51,14,38,15
40,28,43,7,6,60,51
37,54,35,49,55,4,23
19,36,32,26,56,18,57
26,22,4,15,47,11,43
51,55,9,28,48,43,11
44,8,36,23,22,59,41
16,51,40,56,57,30,28
26,4,16,53,36,55,49
34,21,46,35,32,60,58
60,5,31,51,24,44,9
7,55,16,14,1,43,15
3,5,50,40,11,1,38
13,38,47,26,52,24,27
56,8,22,58,35,54,52
50,14,46,56,20,39,22
22,12,20,60,26,58,50
44,55,40,38,2,29,5
35,20,4,59,52,30,22
54,5,48,24,10,9,28
28,55,17,38,40,54,24
38,56,3,52,1,24,45
51,15,26,14,25,29,5
37,56,18,42,14,34,12
6,23,52,21,19,38,25
42,33,16,28,59,15,19
19,14,23,7,39,29,56
28,32,9,19,29,58,22
7,36,3,21,14,18,8
38,46,5,44,47,12,54
21,25,58,32,41,27,52
17,49,7,26,8,40,54
46,14,30,10,2,60,27
15,60,5,54,21,50,45
38,8,37,46,29,32,11
42,7,45,35,37,40,12
56,28,35,51,30,58,48
38,33,47,20,39,54,29
27,56,51,31,36,32,59
42,7,14,13,32,10,16
1,2,42,60,44,18,13
18,16,48,59,8,10,44
41,21,5,29,30,32,47
6,60,35,40,57,53,36
36,21,18,44,50,3,11
2,8,49,42,10,1,24
31,54,17,37,58,5,6
27,50,38,20,1,19,32
21,48,8,47,30,31,29
19,14,3,31,32,33,28
22,6,33,36,8,12,35
60,54,29,57,49,58,42
12,17,27,20,40,22,54
42,8,1,2,44,6,57
18,3,60,8,45,50,46
36,6,34,35,43,27,8
20,51,53,4,40,9,23
7,4,16,51,40,11,25
40,25,33,49,59,8,14
39,15,24,40,48,5,33
45,11,29,28,26,30,10
